row_id,week_date,month,sku,category,region,channel,promo_type,discount_pct,baseline_units,actual_units_sold,selling_price,revenue,promo_cost,incremental_units,incremental_revenue,is_promo
1,2023-01-02,1,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1867.8,1867,45.0,84015.0,0,0,0,0
2,2023-01-09,1,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1616.6,1616,45.0,72720.0,0,0,0,0
3,2023-01-16,1,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Medium Discount (20%),20,1773.8,2751,36.0,99036.0,24759.0,977.25,19217.09,1
4,2023-01-23,1,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1503.8,1503,45.0,67635.0,0,0,0,0
5,2023-01-30,1,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,1538.8,2013,40.5,81526.5,9058.5,474.2,12280.6,1
6,2023-02-06,2,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1568.1,1568,45.0,70560.0,0,0,0,0
7,2023-02-13,2,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Display + Discount,15,1826.9,3776,38.25,144432.0,25488.0,1949.15,62223.61,1
8,2023-02-20,2,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,1466.5,1782,40.5,72171.0,8019.0,315.51,6179.06,1
9,2023-02-27,2,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1508.3,1508,45.0,67860.0,0,0,0,0
10,2023-03-06,3,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1677.3,1677,45.0,75465.0,0,0,0,0
11,2023-03-13,3,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2111.3,2111,45.0,94995.0,0,0,0,0
12,2023-03-20,3,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Light Discount (10%),10,1782.9,2223,40.5,90031.5,10003.5,440.07,9799.78,1
13,2023-03-27,3,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1611.3,1611,45.0,72495.0,0,0,0,0
14,2023-04-03,4,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2141.1,2141,45.0,96345.0,0,0,0,0
15,2023-04-10,4,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Display + Discount,15,2208.5,4482,38.25,171436.5,30253.5,2273.52,72054.87,1
16,2023-04-17,4,Cola 500ml,Carbonated Drinks,North India,Modern Trade,Medium Discount (20%),20,2022.9,3250,36.0,117000.0,29250.0,1227.1,25969.28,1
17,2023-04-24,4,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1961.0,1961,45.0,88245.0,0,0,0,0
18,2023-05-01,5,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2342.9,2342,45.0,105390.0,0,0,0,0
19,2023-05-08,5,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1994.9,1994,45.0,89730.0,0,0,0,0
20,2023-05-15,5,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,2387.6,2387,45.0,107415.0,0,0,0,0
21,2023-05-22,5,Cola 500ml,Carbonated Drinks,North India,Modern Trade,No Promotion,0,1825.3,1825,45.0,82125.0,0,0,0,0
